6291457	7023312,7588636,6379413,3594847,3850334,4983996,8365877,3027099,1411090,7789404,1493847,7559786,1627366,4962635,3405556
5242882	7941206,3932830,3253348,4081594,3850334
5505027	7638186,4512466,1993430,3850334
7077892	6213261,3850334,7941206,6247369,7034251,2720884
8388619	8517985,1661922,1796583,4381363,8399398,3850334,6867933,1025300,4025985,5845286,5540496,9533278,6371224,1165710
4194320	7941206,3850334
6640984	2936272,8303141,6083893,3253348,3850334
9175059	9674737,3850334,4988994,4529243,4081594,1572360,7844414,3123730,3932830
2359322	7193342,3253348,3421577,3850334
2621467	9156470,1707979,3780484,7600125,6080109,2992081,6514890
8912926	7941206,7844414,4081594,3850334
2621472	7941206,3850334
6029345	2641920,4160478,4307738,3850334
8912931	7998308,3850334
5679793	7941206,3850334
5767209	6031934,5638802,6213261,3850334
8650794	4179570,2347735,3850334,4163983,5672111,4688682,8902648
8041140	8658624,7202897,7211157,3850334
1835053	7941206,3850334
9437232	7344293,9508817,2722820,3850334
7864369	8695098,3850334,2637942,9441678,4474410,3616462,7092405,7220763,1237371,5388571,4017897,2794274,7807766,6821573
3932211	7941206,1784580,3850334
2097204	4704097,3850334
8912950	7566114,8605794,9569494,4308879,3080200,3850334,5735245,7960511,2007100,5378994,1827478,5487559
8388663	7844414,3405556,3850334
6520595	6239722,3850334,3780484,3253348,3405556,8795021
9874100	4704097,5419397,3405556
4980795	8375154
6029372	8355479,4306446,6325495,5606086,2025833,3850334,7739811,4770496,9104348,6109784,5271674,3935034,1823700,5571969,3003687,3522305,6824516,4083204,8344659,6657444
5898250	2201613,3850334
2702144	3323928,3850334
2097217	5449689,2657673,7744319,5381665,3850334,4750273,1266170,8577062,4856401,2253822,8402303,9114356,6968989,9877414,9157112,1723450
6029378	4216674,4704097,1210568,3850334
8781835	3850334,7941206,7960511,6541187,4081594,3557392
5242949	6006379,4666908,7941206,2637369,5108292,7307414,9240232,1986840,8134546,3950166,5641495,1017232,6357949,9944534
9699398	3850334,6410480,6515658,3780484,7447428,7503339,3405556
8126536	3850334,6181991,3780484,8678015,7774030,3253348,4330568,3405556
3670090	1602001,3696223,3850334,3780484,6095687,8965195
1048651	5047988,6937623,3850334,5223484,7016456,6747603,9737727,6696703,7844414
6815820	1548351,6410480,4988994,7887505,6696703,2798409,4529243,8377866,2743689,5891602,2993906,8187043,4083099,7415817,6515658,7960511,3780484,8987238,8217769,3123730,9040759,9229616,3850334,6181991,7941206,2091839
7340110	6213261,3850334,7839426,6515658,7783503,3780484,8004848,2755316,8198642,5231238,3405556
4587533	6239722,1388325,3308459,3850334,5322054,5620574,5598910,9171397,2321760
7864404	4704097,3850334
8388695	5829159,9591911,9128708,3850334,2079188,6181991,4795461,1157433,415601,2326317,3149646,8198642,5447098,8977607
7864408	8404957,2478683,9817891,3850334,7057214,9395403,3237858,3904163,7698299,2882744
9699418	7844414
2883675	3253348,3850334
8388700	7941206,3405556,6213261,4319060,3850334
4718687	3850334
9961568	2499675,5668817,3405556,3673118,3850334
6291472	6017979,3244479,2565827,4779532,1626744,7941206,9758862,6585707,3405556
1310819	8042217,399331,3850334,4440089,9731372,5232016,9611019,2531850,2843240,7277319
8388708	7862979,6410480,3161362,1768676,7289665,9964467,1124509,2864494,3405556,6239722,6014250,5731118,5664134,1597455,6192253,8663933,7757112,8977825,7974664,8559269,1767656,9948399,3719029,8798215,9811549,3850334,4931974,6274141,9676160
6029414	590247,6941977,3405556,3976342,3850334
3932265	3072455,5683127,7659131,3850334
8650858	9306001
3495271	4704097,5068417,8925934,9720076,6952924
6363474	5131422,7071429,7850595,3850334,9690667,5473491,8813282,1782645,3424443,2091966,9424695,6585707,3744143,1091945
8650861	2844361,3850334,7941206,9694988,1100766,5953162,1006525
7340142	4044976,5081789,7844414
1572977	5684153,7163507,4258216,7018939,3850334,3316248,5994020,8288913,2415338,7239437,5220729,5805518
6553716	9756318,6239722,3850334,7749103,6152549,4374829,4704097,8091458,8331461,4726111
2796222	5863203,2571591,3850334
1048694	7941206,3850334
4980857	3952223,7884368,3850334
2883706	2676617,6279910,3850334,6515658,4988994,6083893
6468223	2477469,3850334,6515658,5581174,4370716,7289665,4835369,5650185
1835132	3253348,3850334
6553725	7941206
1002088	6239722,6515658,4704097,3850334
9961601	7941206,5254077,4081594,3850334
